name,positions,age,nationality
Christian Fuchs,"Defender (Centre, Left) 
 Midfielder (Left)",31 years old (07-04-1986),Austria
Riyad Mahrez,"Attacking Midfielder (Centre, Left, Right)",26 years old (21-02-1991),Algeria
Marc Albrighton,"Midfielder (Left, Right)",27 years old (18-11-1989),England
Kasper Schmeichel,Goalkeeper,30 years old (05-11-1986),Denmark
Jamie Vardy,"Attacking Midfielder (Left) 
 Forward",30 years old (11-01-1987),England
Robert Huth,Midfielder (Centre),19 years old (08-05-1998),England
Daniel Drinkwater,Defensive Midfielder (C),27 years old (05-03-1990),England
Yohan Benalouane,"Defender (Centre, Right)",30 years old (28-03-1987),France
Danny Simpson,Defender (Right),30 years old (04-01-1987),Ireland
Ben Chilwell,Defender (Left),20 years old (21-12-1996),England
Islam Slimani,Forward,29 years old (18-06-1988),Algeria
Wes Morgan,Defender (Centre),33 years old (21-01-1984),Jamaica
Andy King,Midfielder (Centre),28 years old (29-10-1988),Wales
Daniel Amartey,"Defender (Right) 
 Defensive Midfielder (C)",22 years old (21-12-1994),Ghana
Shinji Okazaki,"Attacking Midfielder (Centre, Left, Right) 
 Forward",31 years old (16-04-1986),Japan
Demarai Gray,"Attacking Midfielder (Left, Right)",21 years old (28-06-1996),England
Nampalys Mendy,Midfielder (Centre),19 years old (08-05-1998),England
Luis Hernández,Midfielder (Centre),19 years old (08-05-1998),England
Leonardo Ulloa,Forward,31 years old (26-07-1986),Argentina
Marcin Wasilewski,"Defender (Centre, Right)",37 years old (09-06-1980),Poland
Ahmed Musa,"Attacking Midfielder (Centre, Left, Right) 
 Forward",24 years old (14-10-1992),Nigeria
Jeffrey Schlupp,"Defender (Left) 
 Midfielder (Left)",24 years old (23-12-1992),Ghana
Ron-Robert Zieler,Goalkeeper,28 years old (12-02-1989),Germany
Matty James,Defensive Midfielder (C),26 years old (22-07-1991),England
Geoff Cameron,"Defender (Centre, Left, Right) 
 Defensive Midfielder (C)",32 years old (11-07-1985),USA
Xherdan Shaqiri,"Midfielder (Centre, Left, Right)",25 years old (10-10-1991),Switzerland
Joe Allen,Midfielder (Centre),27 years old (14-03-1990),Wales
Marc Muniesa,"Defender (Centre, Left)",25 years old (27-03-1992),Spain
Peter Crouch,Forward,36 years old (30-01-1981),England
Ryan Shawcross,Defender (Centre),29 years old (04-10-1987),England
Lee Grant,Goalkeeper,34 years old (27-01-1983),England
Erik Pieters,"Defender (Left) 
 Midfielder (Left)",29 years old (07-08-1988),Netherlands
Bruno Martins Indi,"Defender (Centre, Left)",25 years old (08-02-1992),Netherlands
Marko Arnautovic,"Attacking Midfielder (Left, Right) 
 Forward",28 years old (19-04-1989),Austria
Jack Butland,Goalkeeper,24 years old (10-03-1993),England
Glen Johnson,"Defender (Centre, Left, Right) 
 Midfielder (Right)",33 years old (23-08-1984),England
Charlie Adam,Midfielder (Centre),31 years old (10-12-1985),Scotland
Philipp Wollscheid,Defender (Centre),28 years old (06-03-1989),Germany
Jonathan Walters,"Midfielder (Centre, Left, Right) 
 Forward",33 years old (20-09-1983),Ireland
Mame Biram Diouf,"Midfielder (Left, Right) 
 Forward",29 years old (16-12-1987),Senegal
Wilfried Bony,Forward,28 years old (10-12-1988),Ivory Coast
Glenn Whelan,Defensive Midfielder (C),33 years old (13-01-1984),Ireland
Bojan,"Attacking Midfielder (Centre, Left, Right) 
 Forward",26 years old (28-08-1990),Spain
Phil Bardsley,"Defender (Left, Right)",32 years old (28-06-1985),Scotland
Ramadan Sobhi,Attacking Midfielder (Left),20 years old (23-01-1997),Egypt
Shay Given,Goalkeeper,41 years old (20-04-1976),Ireland
Giannelli Imbula,Defensive Midfielder (C),24 years old (12-09-1992),France
Ibrahim Afellay,"Midfielder (Centre, Left, Right)",31 years old (02-04-1986),Netherlands
Julien Ngoy,Midfielder (Centre),19 years old (08-05-1998),England
Wilfried Zaha,"Attacking Midfielder (Left, Right)",24 years old (10-11-1992),Ivory Coast
Christian Benteke,Forward,26 years old (03-12-1990),Belgium
Mile Jedinak,Defensive Midfielder (C),33 years old (03-08-1984),Australia
Andros Townsend,"Attacking Midfielder (Left, Right)",26 years old (16-07-1991),England
Mamadou Sakho,Defender (Centre),27 years old (13-02-1990),France
Luka Milivojevic,Defensive Midfielder (C),26 years old (07-04-1991),Serbia
Jason Puncheon,"Midfielder (Centre, Left, Right)",31 years old (26-06-1986),England
Joel Ward,"Defender (Left, Right) 
 Defensive Midfielder (C) 
 Midfielder (Right)",27 years old (29-10-1989),England
Yohan Cabaye,Midfielder (Centre),31 years old (14-01-1986),France
James Tomkins,"Defender (Centre, Right)",28 years old (29-03-1989),England
Scott Dann,Defender (Centre),30 years old (14-02-1987),England
